desertionNo,happenDt,happenPlace,upKindNm,kindNm,colorCd,age,weight,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,rfidCd,noticeSdt,noticeEdt,popfile1,popfile2
450650202602058,20260828,제주시 화북이동 부록길14 안쪽별채,고양이,코리안 숏헤어,기타(흰검),2026(60일미만)(년생),0.1(Kg),보호중,M,N,개체관리번호 26452 - 1주차,제2동물보호센터,064-710-4805,제주특별자치도 제주시 애월읍 어림비로 616-107  ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281008559.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281008595.jpg
448567202601175,20260828,의창구 명서동 명곡초등학교,개,믹스견,갈색&흰색,2024(년생),6(Kg),보호중,F,U,방울 달린 목줄 착용,창원동물보호센터,055-225-5701,경상남도 창원시 성산구 공단로474번길 117 (상복동) 창원동물보호센터,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/20260828110854[1].jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281108138.jpg
448537202601374,20260828,동부면 평지,개,믹스견,흰색,2022(년생),20(Kg),보호중,M,N,칩없음. ,거제시동물보호센터,055-639-6368,경상남도 거제시 사등면 두동로1길 107  거제시동물보호센터,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/20260828110838[1].jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/20260828110884.jpg
448531202601265,20260828,진주시 문삽읍 삼곡길 66-7,개,믹스견,갈색&검정,2026(60일미만)(년생),1.4(Kg),보호중,M,N,활동적이며 호기심많고 사람을 너무 좋아함,진주시동물보호센터,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설) ",,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281008192.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281008213.jpg
447520202600155,20260828,대가야읍 대가야 골프장,개,기타,흰색,2022(년생),3.50(Kg),보호중,F,U,"3일 돌아다님,사람 좋아함,내장칩 없음",고령군 유기견 보호소,010-4419-4135,경상북도 고령군 운수면 하법길 37 (운수면) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208936[1].jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208979.jpg
447509202600222,20260828,대학로 144 세븐일레븐 앞,고양이,믹스묘,기타(검고 흰색),2026(60일미만)(년생),2.2(Kg),보호중,Q,U,순함. 경계성 있음.,영주시 동물보호센터,054-631-3997,경상북도 영주시 장수면 반구로 143 [*미고시] 영주시동물보호센터,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908713.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908311.jpg
447509202600221,20260828,대학로 144 세븐일레븐 앞,고양이,믹스묘,기타(검고 흰색),2026(60일미만)(년생),5(Kg),보호중,Q,U,경계가 심함,영주시 동물보호센터,054-631-3997,경상북도 영주시 장수면 반구로 143 [*미고시] 영주시동물보호센터,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908773.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908344.jpg
447509202600220,20260828,죽령로 1236,개,푸들,크림색,2026(60일미만)(년생),3.2(Kg),보호중,M,U,순하고 사람 잘 따름,영주시 동물보호센터,054-631-3997,경상북도 영주시 장수면 반구로 143 [*미고시] 영주시동물보호센터,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908483.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908186.jpg
447509202600219,20260828,번영로 98-3 동방맨션 앞,개,말티즈,크림색,2026(60일미만)(년생),5(Kg),보호중,M,U,순하고 사람 잘 따름,영주시 동물보호센터,054-631-3997,경상북도 영주시 장수면 반구로 143 [*미고시] 영주시동물보호센터,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908947.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908548.jpg
447508202601204,20260828,선산대로31,개,믹스견,얼룩무늬,2024(년생),9.5(Kg),보호중,M,N,온순,구미시 동물보호센터,054-481-5809,경상북도 구미시 옥성면 선상동로 1358  애니멀 케어 센터,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281308701.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281308747.jpg
